category,region,market_rank,supplier_id,score_overall,confidence_label,jobs_observed,rank_range,short_explanation
General,Charlotte,2,SUP-051,48.500394208939724,Medium,5,27-59,"Compared with General suppliers overall, this supplier stands out for a low reopen rate and cost efficiency across 5 jobs. Slower completion times reduced the score."
General,Dallas,1,SUP-056,55.214077436528996,High,7,3-19,"Compared with General suppliers in Dallas, this supplier stands out for fast response times and cost efficiency across 7 jobs."
General,Dallas,2,SUP-052,52.74723571058354,Low,2,12-37,"Compared with General suppliers in Dallas, this supplier stands out for fast completion times and strong customer ratings across 2 jobs. Slower response times reduced the score. Confidence is lower because the observed history is limited."
General,Dallas,3,SUP-041,52.023793279152116,Medium,4,9-35,"Compared with General suppliers in Dallas, this supplier stands out for fast response times and a low reopen rate across 4 jobs. Weaker NTE compliance reduced the score."
General,Nashville,1,SUP-057,53.10174302768524,Medium,5,6-32,"Compared with General suppliers overall, this supplier stands out for fast response times and strong NTE compliance across 5 jobs. A higher reopen rate reduced the score."
General,Nashville,2,SUP-044,50.74725185353566,High,13,12-58,"Compared with General suppliers overall, this supplier stands out for fast completion times and strong customer ratings across 13 jobs. Weaker NTE compliance reduced the score."
General,Nashville,3,SUP-043,48.702391737174096,Low,4,22-62,"Compared with General suppliers overall, this supplier stands out for a low reopen rate and strong customer ratings across 4 jobs. Above-peer costs reduced the score. Confidence is lower because the observed history is limited."
HVAC,Atlanta,1,SUP-002,49.92002152252869,Low,2,27-43,"Compared with HVAC suppliers overall, this supplier stands out for a low reopen rate and strong customer ratings across 2 jobs. Above-peer costs reduced the score. Confidence is lower because the observed history is limited."
HVAC,Atlanta,2,SUP-012,49.29208551523491,Low,1,40-48,"Compared with HVAC suppliers overall, this supplier stands out for a low reopen rate and strong customer ratings across 1 jobs. Slower completion times reduced the score. Confidence is lower because the observed history is limited."
HVAC,Atlanta,3,SUP-013,49.05342154252083,Low,1,41-50,"Compared with HVAC suppliers overall, this supplier stands out for a low reopen rate and strong NTE compliance across 1 jobs. Slower completion times reduced the score. Confidence is lower because the observed history is limited."
HVAC,Dallas,1,SUP-014,56.493776478829965,High,12,1-13,"Compared with HVAC suppliers in Dallas, this supplier stands out for fast response times and fast completion times across 12 jobs. A higher reopen rate reduced the score."
HVAC,Dallas,2,SUP-001,54.30839370134792,Medium,5,7-31,"Compared with HVAC suppliers in Dallas, this supplier stands out for a low reopen rate and cost efficiency across 5 jobs. Slower completion times reduced the score."
HVAC,Dallas,3,SUP-008,50.359798968765155,Low,1,30-37,"Compared with HVAC suppliers in Dallas, this supplier stands out for fast completion times and a low reopen rate across 1 jobs. Above-peer costs reduced the score. Confidence is lower because the observed history is limited."
HVAC,Orlando,1,SUP-009,53.134124217370235,Medium,6,5-39,"Compared with HVAC suppliers overall, this supplier stands out for fast completion times and strong customer ratings across 6 jobs. Above-peer costs reduced the score."
HVAC,Orlando,2,SUP-003,52.28141584444795,Low,1,15-24,"Compared with HVAC suppliers overall, this supplier stands out for fast completion times and cost efficiency across 1 jobs. A higher reopen rate reduced the score. Confidence is lower because the observed history is limited."
HVAC,Orlando,3,SUP-005,50.97746190734141,Low,2,15-44,"Compared with HVAC suppliers overall, this supplier stands out for fast response times and fast completion times across 2 jobs. Weaker NTE compliance reduced the score. Confidence is lower because the observed history is limited."
Plumbing,Charlotte,1,SUP-017,55.20015895463931,High,13,4-38,"Compared with Plumbing suppliers overall, this supplier stands out for a low reopen rate and fast completion times across 13 jobs. Weaker NTE compliance reduced the score."
Plumbing,Charlotte,2,SUP-020,50.44211236328899,Medium,5,13-52,"Compared with Plumbing suppliers overall, this supplier stands out for strong NTE compliance and strong customer ratings across 5 jobs. Slower response times reduced the score."
Plumbing,Charlotte,3,SUP-016,46.528777883530395,Low,2,47-60,"Compared with Plumbing suppliers overall, this supplier stands out for fast response times and strong NTE compliance across 2 jobs. Slower completion times reduced the score. Confidence is lower because the observed history is limited."
Plumbing,Denver,1,SUP-026,54.935442184538914,High,22,4-53,"Compared with Plumbing suppliers in Denver, this supplier stands out for cost efficiency and a low reopen rate across 22 jobs. Slower response times reduced the score."
Plumbing,Denver,2,SUP-021,51.144197389062285,Medium,7,10-52,"Compared with Plumbing suppliers in Denver, this supplier stands out for fast completion times and fast response times across 7 jobs. A higher reopen rate reduced the score."
Plumbing,Denver,3,SUP-025,47.47087877256305,High,12,19-62,"Compared with Plumbing suppliers in Denver, this supplier stands out for fast response times and a low reopen rate across 12 jobs. Slower completion times reduced the score."
Plumbing,Houston,1,SUP-023,60.11598362346377,High,14,1-3,"Compared with Plumbing suppliers in Houston, this supplier stands out for fast response times and fast completion times across 14 jobs. Weaker customer ratings reduced the score."
Plumbing,Houston,2,SUP-018,49.934533184051624,Low,1,34-42,"Compared with Plumbing suppliers in Houston, this supplier stands out for strong NTE compliance across 1 jobs. Customer-rating evidence is unavailable in this sample."
Plumbing,Houston,3,SUP-019,49.7741767928279,Low,3,16-54,"Compared with Plumbing suppliers in Houston, this supplier stands out for cost efficiency and a low reopen rate across 3 jobs. Weaker NTE compliance reduced the score. Confidence is lower because the observed history is limited."
Pool,Charlotte,1,SUP-073,50.73363688959297,High,20,4-49,"Compared with Pool suppliers overall, this supplier stands out for fast response times and fast completion times across 20 jobs. Weaker NTE compliance reduced the score."
Pool,Dallas,1,SUP-071,51.774638964066796,Medium,6,6-45,"Compared with Pool suppliers overall, this supplier stands out for fast completion times and fast response times across 6 jobs. A higher reopen rate reduced the score."
Pool,Dallas,2,SUP-069,50.42497286461771,High,15,6-58,"Compared with Pool suppliers overall, this supplier stands out for strong customer ratings and fast completion times across 15 jobs. Slower response times reduced the score."
Pool,Denver,1,SUP-070,45.540937234177065,Medium,5,55-67,"Compared with Pool suppliers overall, this supplier stands out for a low reopen rate across 5 jobs. Slower completion times reduced the score."
Pool,Denver,2,SUP-072,43.53532057742924,Medium,5,57-69,"Compared with Pool suppliers overall, this supplier stands out for balanced performance across 5 jobs. Slower completion times reduced the score."
Pool,Phoenix,1,SUP-068,55.6046405803627,Medium,4,5-21,"Compared with Pool suppliers overall, this supplier stands out for strong NTE compliance and a low reopen rate across 4 jobs. Weaker customer ratings reduced the score."
Pool,Phoenix,2,SUP-067,52.97780450042396,High,16,3-54,"Compared with Pool suppliers overall, this supplier stands out for fast response times and cost efficiency across 16 jobs."
